,Title,Published_date,Views,Likes,Comments,Month
220,How Kaggle Helped Him Become ML Engineer With Mechanical Engineer Degree,2021-07-31,109466,3447,145,Jul
221,3 ways you can switch to a data science career from non technical background,2021-07-27,37921,899,121,Jul
222,"Text Classification Using BERT & Tensorflow | Deep Learning Tutorial 47 (Tensorflow, Keras & Python)",2021-07-24,21620,530,83,Jul
223,"What is BERT? | Deep Learning Tutorial 46 (Tensorflow, Keras & Python)",2021-07-22,180809,5887,187,Jul
224,250 to 650 People During Pandemic | Hypergrowth Story of Bacancy Technology,2021-07-20,4956,99,3,Jul
225,"Cosine similarity, cosine distance explained | Math, Statistics for data science, machine learning",2021-07-15,43978,1110,55,Jul
226,Not getting interview calls? Try these 3 effective tips,2021-07-12,32951,1429,151,Jul
227,Mumbai freelancer earns 3 lakh INR a month with data engineering,2021-07-10,121748,3441,154,Jul
228,"sin cos tan explained. Explanation using real life example | Math, Statistics for data science",2021-07-08,30098,922,40,Jul
229,He got 4 data analyst job offers | Mechanical engineer to data analyst,2021-07-05,87045,2187,116,Jul
230,Practical AI: Is it all about building models | Conversation with head of machine learning @Vahan,2021-07-03,8482,286,37,Jul
231,How useful are certificates to get a data science job?,2021-06-30,41207,1144,197,Jun
232,"He cracked FAANG (MAANG) interviews in 10 companies including Amazon, Facebook, UBER, Microsoft",2021-06-19,641257,13887,636,Jun
233,Optimize Tensorflow Pipeline Performance: prefetch & cache | Deep Learning Tutorial 45 (Tensorflow),2021-06-15,24440,685,41,Jun
234,How amazon uses data science? | Woman in data science | Career tips from Amazon Data Scientist,2021-06-12,60244,1537,120,Jun
235,"Tensorflow Input Pipeline | tf Dataset | Deep Learning Tutorial 44 (Tensorflow, Keras & Python)",2021-06-10,71866,1565,73,Jun
236,3 Most Important Skills to Become A Data Scientist,2021-06-06,174755,2039,167,Jun
237,Crypto & Blockchain Live,2021-06-05,4570,110,9,Jun
238,Distributed Training On NVIDIA DGX Station A100 | Deep Learning Tutorial 43 (Tensorflow & Python),2021-06-01,25539,530,49,Jun
239,How to build a software product and sell it for multimillion $$$? | Become a software entrepreneur,2021-05-29,13037,394,33,May
240,How I Learned Data Science | My Data Science Journey,2021-05-24,86863,3372,293,May
241,Data Science Internship LIVE Q&A With Tesla Data Science Intern,2021-05-22,23906,821,28,May
242,Word2Vec Part 2 | Implement word2vec in gensim |  | Deep Learning Tutorial 42 with Python,2021-05-21,65695,1405,95,May
243,GPU Burn Test | NVIDIA DGX Station A100 Thermal Benchmark,2021-05-19,7215,135,11,May
244,Do you want to start a business or have entrepreneurship dreams? Here is the live guidance session,2021-05-16,4766,174,22,May
245,How do I stay updated in Data Science?,2021-05-15,18559,555,44,May
246,"Log normal distribution | Math, Statistics for data science, machine learning",2021-05-14,69859,1616,74,May
247,Complete Roadmap for Machine Learning | ML Roadmap for Beginners,2021-05-11,212117,7810,267,May
248,Data Scientist & Software Engineer Salaries in 2021,2021-05-08,32626,569,48,May
249,"Descriptive vs Inferential Statistics | Math, Statistics for data science, machine learning",2021-05-05,50831,1587,90,May
250,Live Data Science Q&A: Charity Stream To Help India Fight COVID,2021-05-02,3932,162,10,May
251,"Median, Mean, Mode, Percentile | Math, Statistics for data science, machine learning",2021-05-01,84293,2044,96,May
252,What is machine learning lifecycle? | What is Model Development Life Cycle (MDLC)? MDLC vs SDLC,2021-04-29,7109,235,16,Apr
253,"Normal Distribution and Z Score | Math, Statistics for data science, machine learning",2021-04-26,81249,2208,188,Apr
254,"What is Standard Deviation and Mean Absolute Deviation | Math, Statistics for data science, ML",2021-04-23,85283,2258,128,Apr
255,Introduction | Mathematics and statistics for data science and machine learning,2021-04-18,200453,4329,329,Apr
256,"What is logarithm? | Math, Statistics for data science, machine learning",2021-04-18,81181,2397,184,Apr
257,LIVE: Data Science Q&A,2021-04-17,12291,402,23,Apr
258,Business Analyst VS Data Analyst,2021-04-15,98374,2898,163,Apr
259,What is Edge AI? | What is edge computing?,2021-04-13,15216,450,25,Apr
260,FIRST LOOK: NVIDIA DGX Station A100 Unboxing,2021-04-12,45951,815,98,Apr
261,LIVE Data Analyst Q&A Ft. Alex The Analyst,2021-04-10,10428,439,29,Apr
262,Why bitcoin price is going up? | Why crypto going up?,2021-04-09,4506,158,30,Apr
